counter,currentDate,external_temp,external_humidity,internal_temp
104,2020-08-24 15:18:37.608159,21.0,65.0,4.5
105,2020-08-24 15:20:48.543451,21.0,65.0,4.4375
106,2020-08-24 15:22:54.373185,21.0,65.0,4.5
107,2020-08-24 15:24:55.213699,21.0,65.0,4.5625
108,2020-08-24 15:26:56.053559,21.0,65.0,4.5
109,2020-08-24 15:29:01.984657,21.0,65.0,4.5625
110,2020-08-24 15:31:02.803552,21.0,65.0,4.4375
111,2020-08-24 15:33:08.739087,21.0,65.0,4.625
112,2020-08-24 15:35:14.666074,21.0,65.0,4.875
113,2020-08-24 15:37:23.164361,21.0,65.0,5.0
114,2020-08-24 15:39:29.088619,21.0,65.0,5.1875
115,2020-08-24 15:41:47.674712,21.0,65.0,5.25
116,2020-08-24 15:43:48.483548,21.0,65.0,5.375
117,2020-08-24 15:46:04.493577,21.0,66.0,5.5625
118,2020-08-24 15:48:15.477921,21.0,65.0,5.75
119,2020-08-24 15:50:28.953512,21.0,65.0,5.75
120,2020-08-24 15:52:29.834504,21.0,66.0,5.9375
121,2020-08-24 15:54:33.193555,21.0,66.0,5.9375
122,2020-08-24 15:56:41.643484,21.0,66.0,6.125
123,2020-08-24 15:58:44.983544,21.0,66.0,6.25
124,2020-08-24 16:00:45.773466,21.0,66.0,6.25
125,2020-08-24 16:02:49.133652,21.0,66.0,6.3125
126,2020-08-24 16:04:55.003570,21.0,69.0,13.5625
127,2020-08-24 16:07:00.903487,21.0,70.0,9.5625
128,2020-08-24 16:09:04.273555,21.0,69.0,8.3125
129,2020-08-24 16:11:10.209886,21.0,69.0,8.0
130,2020-08-24 16:13:11.023552,21.0,68.0,8.125
131,2020-08-24 16:15:16.950636,21.0,68.0,7.625
132,2020-08-24 16:17:17.843528,22.0,67.0,6.6875
133,2020-08-24 16:19:18.733678,22.0,66.0,5.8125
134,2020-08-24 16:21:34.813547,22.0,66.0,5.1875
135,2020-08-24 16:23:43.282606,22.0,65.0,5.0625
136,2020-08-24 16:26:09.423485,22.0,65.0,4.875
137,2020-08-24 16:28:10.243542,22.0,66.0,4.6875
138,2020-08-24 16:30:16.172138,22.0,65.0,4.5625
139,2020-08-24 16:32:29.699743,22.0,65.0,4.4375
140,2020-08-24 16:34:30.553548,22.0,66.0,4.3125
141,2020-08-24 16:36:36.478724,22.0,66.0,4.25
142,2020-08-24 16:38:39.823528,22.0,66.0,4.1875
143,2020-08-24 16:40:40.715413,22.0,66.0,4.1875
144,2020-08-24 16:42:41.548657,22.0,66.0,4.125
145,2020-08-24 16:44:47.479306,22.0,66.0,4.0625
146,2020-08-24 16:46:53.373684,22.0,66.0,4.0
147,2020-08-24 16:48:59.433503,22.0,66.0,4.0
148,2020-08-24 16:51:00.283507,22.0,65.0,4.0625
149,2020-08-24 16:53:01.145594,22.0,66.0,4.0625
Motion,2020-08-24 16:53:29.789951,22.0,66.0,7.5625
150,2020-08-24 16:55:02.033687,22.0,66.0,6.5625
151,2020-08-24 16:57:20.593554,22.0,66.0,5.1875
152,2020-08-24 16:59:26.528510,22.0,66.0,4.8125
153,2020-08-24 17:01:34.993108,22.0,66.0,4.75
154,2020-08-24 17:03:35.889862,22.0,66.0,4.6875
155,2020-08-24 17:05:36.749968,22.0,66.0,4.6875
156,2020-08-24 17:07:37.573556,22.0,66.0,4.625
157,2020-08-24 17:09:46.017061,22.0,66.0,4.5625
158,2020-08-24 17:11:57.014205,22.0,66.0,4.625
159,2020-08-24 17:14:00.583742,22.0,66.0,4.875
160,2020-08-24 17:16:14.143520,22.0,66.0,5.0
161,2020-08-24 17:18:15.015206,22.0,66.0,5.125
162,2020-08-24 17:20:15.853657,22.0,66.0,5.1875
163,2020-08-24 17:22:16.717844,22.0,66.0,5.3125
164,2020-08-24 17:24:20.323526,22.0,66.0,5.375
165,2020-08-24 17:26:23.728027,22.0,66.0,5.5
166,2020-08-24 17:28:34.729626,22.0,66.0,5.625
167,2020-08-24 17:30:35.593552,22.0,66.0,5.75
168,2020-08-24 17:32:36.457350,22.0,66.0,5.8125
169,2020-08-24 17:34:39.823551,22.0,66.0,8.125
170,2020-08-24 17:36:40.943533,22.0,66.0,7.125
171,2020-08-24 17:38:41.743498,22.0,66.0,6.75
172,2020-08-24 17:40:52.742597,22.0,66.0,6.75
173,2020-08-24 17:43:11.293687,22.0,66.0,6.8125
174,2020-08-24 17:45:17.173547,22.0,66.0,6.875
175,2020-08-24 17:47:20.563500,22.0,66.0,6.9375
176,2020-08-24 17:49:23.923592,22.0,66.0,7.0625
177,2020-08-24 17:51:29.823483,22.0,66.0,7.0625
178,2020-08-24 17:53:35.713557,22.0,66.0,6.125
179,2020-08-24 17:55:49.273537,22.0,66.0,1.9375
180,2020-08-24 17:57:50.093665,22.0,66.0,-0.5625
181,2020-08-24 17:59:56.023579,22.0,66.0,-1.5
182,2020-08-24 18:02:06.973655,22.0,66.0,-1.25
183,2020-08-24 18:04:12.853550,22.0,66.0,-0.4375
184,2020-08-24 18:06:18.753560,22.0,66.0,0.0625
185,2020-08-24 18:08:22.123822,22.0,66.0,1.0
186,2020-08-24 18:10:33.121556,22.0,66.0,1.9375
187,2020-08-24 18:12:36.522281,22.0,66.0,2.375
188,2020-08-24 18:14:39.913619,22.0,66.0,2.6875
189,2020-08-24 18:16:50.915848,22.0,66.0,3.0625
190,2020-08-24 18:19:04.455289,22.0,66.0,3.3125
191,2020-08-24 18:21:05.263542,22.0,66.0,3.625
192,2020-08-24 18:23:13.693665,22.0,66.0,3.6875
193,2020-08-24 18:25:19.573571,22.0,67.0,3.75
194,2020-08-24 18:27:22.972105,22.0,66.0,3.75
195,2020-08-24 18:29:26.323542,22.0,66.0,3.875
196,2020-08-24 18:31:32.255663,22.0,66.0,4.0
197,2020-08-24 18:33:33.073547,22.0,66.0,4.125
198,2020-08-24 18:35:56.713612,22.0,66.0,4.125
199,2020-08-24 18:37:57.673542,22.0,66.0,4.125
200,2020-08-24 18:40:08.672540,22.0,66.0,4.125
201,2020-08-24 18:42:17.073480,22.0,66.0,4.125
202,2020-08-24 18:44:17.961855,22.0,67.0,4.125
203,2020-08-24 18:46:21.363551,22.0,66.0,4.25
204,2020-08-24 18:48:27.253596,22.0,66.0,4.375
205,2020-08-24 18:50:28.118318,22.0,67.0,4.5625
206,2020-08-24 18:52:34.003546,22.0,67.0,4.6875
207,2020-08-24 18:54:39.934219,22.0,67.0,5.0
208,2020-08-24 18:56:48.392716,22.0,67.0,5.0625
209,2020-08-24 18:59:09.553539,22.0,67.0,5.1875
210,2020-08-24 19:01:10.403543,22.0,67.0,5.375
211,2020-08-24 19:03:13.804315,22.0,67.0,5.5
212,2020-08-24 19:05:19.673535,22.0,67.0,5.625
213,2020-08-24 19:07:23.053593,22.0,67.0,5.8125
214,2020-08-24 19:09:36.589024,22.0,67.0,5.875
215,2020-08-24 19:12:00.253684,22.0,67.0,6.0
216,2020-08-24 19:14:03.623544,22.0,67.0,6.0625
217,2020-08-24 19:16:14.619230,22.0,67.0,6.1875
218,2020-08-24 19:18:23.326790,22.0,67.0,6.25
219,2020-08-24 19:20:24.143581,22.0,67.0,6.3125
220,2020-08-24 19:22:30.074396,22.0,67.0,6.4375
221,2020-08-24 19:24:33.413555,22.0,67.0,6.5625
222,2020-08-24 19:26:39.283480,22.0,67.0,6.625
223,2020-08-24 19:28:40.163458,22.0,67.0,3.0
224,2020-08-24 19:30:43.592186,22.0,67.0,-0.1875
225,2020-08-24 19:32:52.057878,22.0,67.0,-1.5
226,2020-08-24 19:34:55.433544,22.0,67.0,-1.875
227,2020-08-24 19:37:01.367047,22.0,67.0,-1.1875
228,2020-08-24 19:39:09.829121,22.0,67.0,-0.4375
229,2020-08-24 19:41:13.223562,23.0,66.0,0.3125
